id_wiersza_zrodla;id_transakcji;data;produkt;kanal;ilosc;cena_jednostkowa_pln;rabat_proc;kwota_netto_pln;status
ZA-1-001;TR-A-101;2026-08-18;Kubek termiczny;sklep_stacjonarny;2;87,00;0,00;174,00;zrealizowana
ZA-1-002;TR-A-102;2026-08-20;Zestaw prezentowy;partner;3;117,25;5,00;334,16;zrealizowana
ZA-1-003;TR-A-103;2026-08-22;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;10,00;75,60;zrealizowana
ZA-1-004;TR-A-104;2026-08-17;Waga do kawy;sklep_online;1;107,75;15,00;91,59;zrealizowana
ZA-1-005;TR-A-105;2026-08-19;Kubek termiczny;sklep_stacjonarny;2;87,00;0,00;174,00;zrealizowana
ZA-1-006;TR-A-106;2026-08-21;Zestaw prezentowy;partner;3;117,25;0,00;351,75;zrealizowana
ZA-1-007;TR-A-107;2026-08-23;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;5,00;79,80;zrealizowana
ZA-1-008;TR-A-108;2026-08-18;Waga do kawy;sklep_online;-1;107,75;10,00;-96,98;zwrot
ZA-1-009;TR-A-109;2026-08-20;Kubek termiczny;sklep_stacjonarny;2;87,00;15,00;147,90;zrealizowana
ZA-1-010;TR-A-110;2026-08-22;Zestaw prezentowy;partner;3;117,25;0,00;351,75;zrealizowana
ZA-1-011;TR-A-111;2026-08-17;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;0,00;84,00;zrealizowana
ZA-1-012;TR-A-112;2026-08-19;Waga do kawy;sklep_online;1;107,75;5,00;102,36;zrealizowana
ZA-1-013;TR-A-113;2026-08-21;Kubek termiczny;sklep_stacjonarny;2;87,00;10,00;156,60;zrealizowana
ZA-1-014;TR-A-114;2026-08-23;Zestaw prezentowy;partner;3;117,25;15,00;298,99;zrealizowana
ZA-1-015;TR-A-115;2026-08-18;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;0,00;84,00;zrealizowana
ZA-1-016;TR-A-116;2026-08-20;Waga do kawy;sklep_online;1;107,75;0,00;107,75;zrealizowana
ZA-1-017;TR-A-117;2026-08-22;Kubek termiczny;sklep_stacjonarny;2;87,00;5,00;165,30;zrealizowana
ZA-1-018;TR-A-118;2026-08-17;Zestaw prezentowy;partner;3;117,25;10,00;316,58;zrealizowana
ZA-1-019;TR-A-119;2026-08-19;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;15,00;71,40;zrealizowana
ZA-1-020;TR-A-120;2026-08-21;Waga do kawy;sklep_online;1;107,75;0,00;107,75;zrealizowana
ZA-1-021;TR-A-121;2026-08-23;Kubek termiczny;sklep_stacjonarny;2;87,00;0,00;174,00;zrealizowana
ZA-1-022;TR-A-122;2026-08-18;Zestaw prezentowy;partner;3;117,25;5,00;334,16;zrealizowana
ZA-1-023;TR-A-123;2026-08-20;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;10,00;75,60;zrealizowana
ZA-1-024;TR-A-124;2026-08-22;Waga do kawy;sklep_online;1;107,75;15,00;91,59;zrealizowana
ZA-1-025;TR-A-125;2026-08-17;Kubek termiczny;sklep_stacjonarny;2;87,00;0,00;174,00;zrealizowana
ZA-1-026;TR-A-126;2026-08-19;Zestaw prezentowy;partner;3;117,25;0,00;351,75;zrealizowana
ZA-1-027;TR-A-127;2026-08-21;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;5,00;79,80;zrealizowana
ZA-1-028;TR-A-128;2026-08-23;Waga do kawy;sklep_online;1;107,75;10,00;96,98;zrealizowana
ZA-1-029;TR-A-129;2026-08-18;Kubek termiczny;sklep_stacjonarny;2;87,00;15,00;147,90;zrealizowana
ZA-1-030;TR-A-130;2026-08-20;Zestaw prezentowy;partner;3;117,25;0,00;351,75;zrealizowana
ZA-1-031;TR-A-131;2026-08-22;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;0,00;84,00;zrealizowana
ZA-1-032;TR-A-132;2026-08-17;Waga do kawy;sklep_online;1;107,75;5,00;102,36;zrealizowana
ZA-1-033;TR-A-133;2026-08-19;Kubek termiczny;sklep_stacjonarny;2;87,00;10,00;156,60;zrealizowana
ZA-1-034;TR-A-134;2026-08-21;Zestaw prezentowy;partner;3;117,25;15,00;298,99;zrealizowana
ZA-1-035;TR-A-135;2026-08-23;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;0,00;84,00;zrealizowana
ZA-1-036;TR-A-136;2026-08-18;Waga do kawy;sklep_online;1;107,75;0,00;107,75;zrealizowana
ZA-1-037;TR-A-137;2026-08-20;Kubek termiczny;sklep_stacjonarny;2;87,00;5,00;165,30;zrealizowana
ZA-1-038;TR-A-138;2026-08-22;Zestaw prezentowy;partner;3;117,25;10,00;316,58;zrealizowana
ZA-1-039;TR-A-139;2026-08-17;Filtry papierowe 100 szt.;zamowienie_telefoniczne;4;21,00;15,00;71,40;zrealizowana
ZA-1-040;TR-A-140;2026-08-19;Waga do kawy;sklep_online;1;107,75;0,00;107,75;zrealizowana
ZA-2-001;TR-A-201;2026-08-26;Spieniacz do mleka;zamowienie_telefoniczne;3;53,90;5,00;153,62;zrealizowana
ZA-2-002;TR-A-202;2026-08-28;Butelka na wodę;sklep_online;4;43,25;10,00;155,70;zrealizowana
ZA-2-003;TR-A-203;2026-08-30;Herbata liściasta 250 g;sklep_stacjonarny;1;36,00;15,00;30,60;zrealizowana
ZA-2-004;TR-A-204;2026-08-25;Syrop waniliowy;partner;2;27,75;0,00;55,50;zrealizowana
ZA-2-005;TR-A-205;2026-08-27;Spieniacz do mleka;zamowienie_telefoniczne;3;53,90;0,00;161,70;zrealizowana
ZA-2-006;TR-A-206;2026-08-29;Butelka na wodę;sklep_online;4;43,25;5,00;164,35;zrealizowana
ZA-2-007;TR-A-207;2026-08-24;Herbata liściasta 250 g;sklep_stacjonarny;1;36,00;10,00;32,40;zrealizowana
ZA-2-008;TR-A-208;2026-08-26;Syrop waniliowy;partner;2;27,75;15,00;47,18;zrealizowana
ZA-2-009;TR-A-209;2026-08-28;Spieniacz do mleka;zamowienie_telefoniczne;3;53,90;0,00;161,70;zrealizowana
ZA-2-010;TR-A-210;2026-08-30;Butelka na wodę;sklep_online;4;43,25;0,00;173,00;zrealizowana
ZA-2-011;TR-A-211;2026-08-25;Herbata liściasta 250 g;sklep_stacjonarny;1;36,00;5,00;34,20;zrealizowana
ZA-2-012;TR-A-212;2026-08-27;Syrop waniliowy;partner;2;27,75;10,00;49,95;zrealizowana
